label,kmeans_cluster
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,12
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,31
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,26
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,3
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,23
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,10
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,10
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,3
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,31
cerebellum - Purkinje cells,2
cerebellum - Purkinje cells,31
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,3
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,3
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,13
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,27
cerebellum - Purkinje cells,13
