epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
20,452.728427,407.6963615,45.0320617,0.0,2157.39272,2125.93712,31.455544600000003,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
21,429.28336900000005,385.11724250000003,44.1661237,0.0,2145.21836,2114.23459,30.983772499999997,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
22,413.930263,370.56970149999995,43.3605636,0.0,2136.10712,2105.499285,30.607788149999998,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
23,400.434342,357.970811,42.463531849999995,0.0,2127.5623299999997,2097.413735,30.148591900000003,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
24,389.3128445,347.50262250000003,41.81022055,0.0,2118.4672849999997,2088.4051449999997,30.0621657,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
25,372.592505,331.3994725,41.19302785,0.0,2107.719095,2077.908535,29.81057025,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
26,357.53907549999997,316.97927599999997,40.5598,0.0,2096.652845,2067.0735400000003,29.57934775,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
27,342.7976275,302.797127,40.0005004,0.0,2086.13321,2056.734015,29.39918935,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
28,329.19249049999996,289.8648575,39.32763355,0.0,2071.986035,2042.82464,29.161357099999996,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
29,324.09761749999996,285.315181,38.78243515,0.0,2069.20733,2040.2468649999998,28.96048565,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
