NC,MLP,RF-4,RF-2,label,classifier_n
1.0,1.0,0.9754901960784313,0.9803921568627451,skin_-_melanocytes_2,39
1.0,1.0,0.9656862745098039,0.9509803921568627,small_intestine_-_glandular_cells_2,39
1.0,1.0,0.9950980392156863,0.9803921568627451,soft_tissue_2_-_adipocytes_2,39
1.0,1.0,0.9803921568627451,0.9607843137254902,soft_tissue_2_-_fibroblasts_2,39
1.0,1.0,0.9950980392156863,0.9803921568627451,spleen_-_cells_in_white_pulp_2,39
1.0,1.0,0.9558823529411765,0.9411764705882353,"stomach,_lower_-_glandular_cells_2",39
0.9950980392156863,0.9950980392156863,1.0,0.9901960784313726,"stomach,_upper_-_glandular_cells_2",39
1.0,1.0,1.0,0.9852941176470589,tonsil_-_germinal_center_cells_2,39
1.0,1.0,1.0,0.9754901960784313,tonsil_-_non-germinal_center_cells_2,39
1.0,1.0,0.9558823529411765,0.8970588235294118,tonsil_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9803921568627451,urinary_bladder_-_urothelial_cells_2,39
1.0,1.0,0.9803921568627451,0.9509803921568627,"uterus,_post-menopause_-_glandular_cells_2",39
1.0,1.0,0.9509803921568627,0.7598039215686274,"uterus,_pre-menopause_-_glandular_cells_2",39
1.0,1.0,0.9754901960784313,0.8186274509803921,vagina_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9509803921568627,0.9411764705882353,vulva-anal_skin_-_epidermal_cells_2,39
1.0,1.0,0.9607843137254902,0.8186274509803921,bone_marrow_-_hematopoietic_cells_2,39
1.0,1.0,1.0,0.9803921568627451,breast_-_adipocytes_2,39
1.0,1.0,0.9656862745098039,0.8186274509803921,breast_-_myoepithelial_cells_2,39
1.0,1.0,0.9166666666666666,0.6176470588235294,bronchus_-_respiratory_epithelial_cells_2,39
1.0,1.0,1.0,0.9607843137254902,cerebellum_-_cells_in_molecular_layer_2,39
1.0,1.0,0.9852941176470589,0.9313725490196079,cerebral_cortex_-_neuropil_2,39
