epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
20,753.7722185,705.092314,48.6799057,2582.760545,2551.611075,31.14944345,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
21,715.289669,666.8758025,48.413870450000005,2570.27978,2539.23373,31.04608305,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
22,676.605373,628.9282525,47.677112449999996,2558.628805,2527.9047149999997,30.7240927,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
23,646.097704,599.189275,46.9084259,2548.2713400000002,2517.813775,30.4575396,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
24,612.553548,566.1181145,46.4354281,2529.91029,2499.825515,30.084781600000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
25,580.696935,534.7261209999999,45.97081205,2517.82033,2487.8969150000003,29.92340635,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
26,554.0020015,508.57332800000006,45.4286784,2505.637125,2475.894815,29.742322100000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
27,531.7803544999999,486.85250049999996,44.9278568,2494.326415,2464.813565,29.51282195,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
28,512.983323,468.657686,44.32563675,2486.5503,2457.267335,29.28295195,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
29,511.3906255,467.6077115,43.78291365,2483.97329,2454.845785,29.12749225,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
