label,kmeans_cluster
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,23
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,16
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebral cortex - glial cells,13
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,9
cerebellum - Purkinje cells,9
cerebellum - Purkinje cells,9
cerebellum - Purkinje cells,9
cerebellum - Purkinje cells,9
cerebellum - Purkinje cells,1
cerebellum - Purkinje cells,1
cerebellum - Purkinje cells,1
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,1
cerebellum - Purkinje cells,1
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,29
cerebellum - Purkinje cells,4
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
cerebellum - Purkinje cells,5
