emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,label,file_n,sample_n,file_name
0.3270063,3.164165,1.751392,2.2226,0.79558647,1.046164,1.1503868,1.1744728,1.0502119,1.2783322,0.1824171,0.92787576,0.44298142,0.9928705,1.3493664,0.48299184,0.6509354,1.6562,-0.35158867,-0.6266779,2.2397308,0.4115497,1.634171,1.5816678,1.7666726,0.61843646,0.33327845,0.5077838,0.94968003,0.90715754,1.0654309,1.026983,"uterus,_post-menopause_-_glandular_cells_2",0,1428,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.27827585,3.6708732,2.559975,2.924677,0.8090298,1.4818077,1.4208149,1.1776757,1.485202,2.296572,0.6963481,0.29587305,0.07261628,0.5868838,1.3366463,0.20161086,1.2329377,2.3269134,-0.5521381,-0.99340636,2.406959,-0.16367888,1.6561674,2.5501554,2.2951097,-0.1642561,0.05670178,0.15862197,-0.027716398,1.8065183,1.6601487,0.6397022,"uterus,_post-menopause_-_glandular_cells_2",0,4960,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.2921527,3.5233335,1.4085929,1.5275931,0.46810445,2.61166,1.1090301,0.9576288,1.6151892,1.7252365,0.52853256,0.7441994,2.482493,0.24062824,0.76033485,1.0769492,0.91518617,1.1977675,-0.25789315,-0.14500457,2.652838,0.95841414,0.14797896,2.3331692,3.3313975,0.27836555,-0.8554252,0.5148905,0.8584322,0.59856683,2.2634616,1.3363907,"uterus,_post-menopause_-_glandular_cells_2",0,1119,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.81604266,3.0813227,1.904213,2.8480878,0.7545024,0.9975487,1.1665937,1.0555328,1.4890363,1.2295346,0.08068609,0.47156364,1.2237548,0.19250238,1.69571,0.10941917,0.7905568,2.3874698,-0.42839986,-1.0484784,3.2245069,0.23691863,1.2681742,1.9429119,2.4703994,-0.19022709,-0.13062936,0.65884113,0.89465463,0.89760923,1.9541814,0.50632966,"uterus,_post-menopause_-_glandular_cells_2",0,4951,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.5291834,2.922494,0.85403293,1.6348649,0.2844224,1.2343217,0.9236437,1.2636335,1.7703772,1.3993576,0.2012257,0.9632763,1.4852848,0.922554,0.35513645,-0.18569022,0.62215257,0.37554687,-0.18980873,-0.64720845,2.3756528,1.0333785,0.44958642,1.5623819,2.1917953,-0.01216507,-0.5617338,1.0386622,1.921273,0.35816926,0.40343335,1.8370137,"uterus,_post-menopause_-_glandular_cells_2",0,2819,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.9731045,3.294129,1.9549775,1.9820893,0.45312008,0.44553626,1.2745695,2.1535728,1.4697748,1.6312689,-0.16676325,1.212517,1.7700989,1.192216,1.2115299,-0.47350496,1.1480148,1.0479668,-0.3556422,-0.37085444,2.1873074,1.4465901,1.5093106,2.0417366,2.0588279,0.30965072,0.8151217,0.9118824,1.3298378,0.5349015,0.035305023,1.4338892,"uterus,_post-menopause_-_glandular_cells_2",0,2009,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.72266644,2.926444,1.2794865,2.019349,0.22912318,0.8753678,0.8512294,1.259594,1.0215346,1.3549014,0.30745387,0.91921157,0.49194166,0.8029889,0.8750212,-0.12064588,0.7031606,1.292994,0.022395015,-1.1395991,1.9976242,0.9710132,0.7180635,1.779473,1.9956443,0.14596766,0.041983247,0.27045596,1.183618,0.41103417,1.0495819,1.2906158,"uterus,_post-menopause_-_glandular_cells_2",0,4441,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.2946602,3.2909858,1.2125138,1.953551,1.1945214,1.2179972,0.6493434,0.97663677,1.8188753,1.0761108,-0.39703822,0.67797554,1.7965322,0.7998534,0.88593817,0.6460717,0.6387191,1.3215641,-0.20016557,-0.05191654,1.9847631,0.16040981,0.56078184,1.1668631,2.3511953,-0.055342674,0.051608503,0.8503227,0.6559998,0.77040654,1.3295622,1.0633765,"uterus,_post-menopause_-_glandular_cells_2",0,520,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.455321,2.65984,1.1356515,1.4939214,0.5681606,1.1858829,0.38800716,1.6635499,1.7194765,1.5484543,0.84564507,1.0007548,1.5071491,0.15445733,0.3470118,0.56733894,0.6176952,0.88743657,-0.49600953,-0.28372967,2.3534179,0.6504306,0.71051383,1.6774046,2.6668205,-0.21215892,0.20490426,0.7582804,0.17659843,0.3930078,0.88190293,1.9440355,"uterus,_post-menopause_-_glandular_cells_2",0,4086,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
-0.049670935,2.7561598,1.6932603,2.1958475,0.9321362,1.556557,1.0418313,0.87166107,0.91418576,1.5345076,0.23891336,0.8146967,0.86673,0.96925175,0.5065334,0.6972891,0.85790986,0.56286573,-0.064195275,-0.43287718,2.224727,0.567866,0.5162684,1.2307322,2.2180262,0.2099508,0.5902219,1.0361851,1.0234404,0.61530584,0.93307304,1.1667142,"uterus,_post-menopause_-_glandular_cells_2",0,2314,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.40341085,3.959368,1.7160513,1.0166987,0.981662,0.9461278,0.6672183,1.5085369,1.4468167,1.4646732,0.53635865,0.30537438,1.551346,0.77957916,0.15049243,-0.1378501,1.1593359,0.38722593,-0.035966873,-0.4186296,2.8709898,1.0330861,0.69839495,2.1505375,1.7426603,-0.435916,0.037524343,1.4578471,1.5693047,0.075142145,0.548332,1.6801672,"uterus,_post-menopause_-_glandular_cells_2",0,4365,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.7222418,2.8551347,1.7920622,1.7783058,0.5328716,1.8282697,1.092221,1.6253594,1.1326457,1.5256193,-0.07465494,0.976418,1.5717304,0.44788525,0.337479,0.49751592,0.92563564,0.9456628,-0.07482171,-0.3367123,2.676898,0.994151,0.2658729,2.0507522,2.7771492,-0.0022694468,-0.39483958,0.7072722,1.3268747,0.37536663,1.4355817,1.1555,"uterus,_post-menopause_-_glandular_cells_2",0,1237,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.8000505,3.0351639,1.9810698,1.4219787,0.93079257,1.6094849,0.750628,1.0300353,1.0727799,1.9159436,0.46909577,1.0163102,0.58264226,-0.30714196,0.8448144,-0.0061271787,0.030288398,0.8354072,0.17769212,-0.5273537,2.4235907,0.81426847,0.89856774,1.3707209,2.4595165,-0.122609675,-0.57151383,1.6864302,0.2802506,0.5567829,1.3015847,1.1589602,"uterus,_post-menopause_-_glandular_cells_2",0,4528,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
0.66201854,2.3004181,1.1047974,1.6098121,0.5046442,0.9586528,0.37169564,2.250413,1.2540243,1.5911149,0.5927922,0.5492184,1.3310187,0.89227724,0.33073503,0.6605576,0.5368396,1.1641097,-0.6077435,-0.45944917,2.0479198,0.49723184,0.8971539,1.2073812,2.1884742,-0.29679978,0.28045103,0.11540645,0.260405,0.828678,0.5796337,2.0495112,"uterus,_post-menopause_-_glandular_cells_2",0,1800,"uterus,_post-menopause_-_glandular_cells_2_5000(2)"
