emb0,emb1,label,file_n,sample_n,file_name
-4.658455,-0.2821526,kidney_-_cells_in_tubules_2,0,2307,kidney_-_cells_in_tubules_2_5000(5)
-4.992991,-0.020127356,kidney_-_cells_in_tubules_2,0,3865,kidney_-_cells_in_tubules_2_5000(5)
-4.3344464,0.050231278,kidney_-_cells_in_tubules_2,0,2551,kidney_-_cells_in_tubules_2_5000(5)
-4.0610127,-0.2680707,kidney_-_cells_in_tubules_2,0,2044,kidney_-_cells_in_tubules_2_5000(5)
-3.8217025,-0.2781874,kidney_-_cells_in_tubules_2,0,1688,kidney_-_cells_in_tubules_2_5000(5)
-10.735866,-1.4806151,kidney_-_cells_in_tubules_2,0,4860,kidney_-_cells_in_tubules_2_5000(5)
-4.783473,-0.20002103,kidney_-_cells_in_tubules_2,0,4276,kidney_-_cells_in_tubules_2_5000(5)
-4.4261813,-0.32573614,kidney_-_cells_in_tubules_2,0,3318,kidney_-_cells_in_tubules_2_5000(5)
-4.5782347,-0.10829437,kidney_-_cells_in_tubules_2,0,2734,kidney_-_cells_in_tubules_2_5000(5)
-5.044335,-0.39820012,kidney_-_cells_in_tubules_2,0,1888,kidney_-_cells_in_tubules_2_5000(5)
-5.547148,0.013854742,kidney_-_cells_in_tubules_2,0,1551,kidney_-_cells_in_tubules_2_5000(5)
-4.1532636,-0.18934977,kidney_-_cells_in_tubules_2,0,562,kidney_-_cells_in_tubules_2_5000(5)
-4.1438627,-0.2958538,kidney_-_cells_in_tubules_2,0,2017,kidney_-_cells_in_tubules_2_5000(5)
-5.1907835,-0.19685316,kidney_-_cells_in_tubules_2,0,1523,kidney_-_cells_in_tubules_2_5000(5)
-4.7005157,-0.17290562,kidney_-_cells_in_tubules_2,0,159,kidney_-_cells_in_tubules_2_5000(5)
-3.7146873,-0.32548034,kidney_-_cells_in_tubules_2,0,4837,kidney_-_cells_in_tubules_2_5000(5)
-9.839023,-3.8715255,kidney_-_cells_in_tubules_2,0,4050,kidney_-_cells_in_tubules_2_5000(5)
-5.2693267,-0.17034617,kidney_-_cells_in_tubules_2,0,134,kidney_-_cells_in_tubules_2_5000(5)
-5.5648437,-0.51855314,kidney_-_cells_in_tubules_2,0,463,kidney_-_cells_in_tubules_2_5000(5)
-4.0097485,-0.13424432,kidney_-_cells_in_tubules_2,0,3482,kidney_-_cells_in_tubules_2_5000(5)
-5.2285976,-0.20027101,kidney_-_cells_in_tubules_2,0,690,kidney_-_cells_in_tubules_2_5000(5)
-3.9407768,-0.34592903,kidney_-_cells_in_tubules_2,0,1761,kidney_-_cells_in_tubules_2_5000(5)
-4.2729306,-0.33538914,kidney_-_cells_in_tubules_2,0,1414,kidney_-_cells_in_tubules_2_5000(5)
-4.5378056,-0.105829835,kidney_-_cells_in_tubules_2,0,3491,kidney_-_cells_in_tubules_2_5000(5)
-4.01904,-0.25828856,kidney_-_cells_in_tubules_2,0,2070,kidney_-_cells_in_tubules_2_5000(5)
-3.6990442,-0.18050736,kidney_-_cells_in_tubules_2,0,3967,kidney_-_cells_in_tubules_2_5000(5)
-4.640852,-0.115649045,kidney_-_cells_in_tubules_2,0,2812,kidney_-_cells_in_tubules_2_5000(5)
-5.4036565,-0.46940136,kidney_-_cells_in_tubules_2,0,4608,kidney_-_cells_in_tubules_2_5000(5)
-4.62696,-0.34067723,kidney_-_cells_in_tubules_2,0,3320,kidney_-_cells_in_tubules_2_5000(5)
1.5811617,1.4079719,skin_-_melanocytes_2,1,2244,skin_-_melanocytes_2_5000(4)
1.7629442,1.512389,skin_-_melanocytes_2,1,2882,skin_-_melanocytes_2_5000(4)
1.5427057,1.5378755,skin_-_melanocytes_2,1,3235,skin_-_melanocytes_2_5000(4)
1.5636585,1.5644665,skin_-_melanocytes_2,1,302,skin_-_melanocytes_2_5000(4)
1.5972357,1.6598202,skin_-_melanocytes_2,1,1921,skin_-_melanocytes_2_5000(4)
1.7767231,1.5779387,skin_-_melanocytes_2,1,4402,skin_-_melanocytes_2_5000(4)
1.7592404,1.5638016,skin_-_melanocytes_2,1,1687,skin_-_melanocytes_2_5000(4)
1.6009963,1.6010034,skin_-_melanocytes_2,1,333,skin_-_melanocytes_2_5000(4)
1.7632799,1.5017922,skin_-_melanocytes_2,1,1329,skin_-_melanocytes_2_5000(4)
1.7340556,1.5029688,skin_-_melanocytes_2,1,2788,skin_-_melanocytes_2_5000(4)
1.6842021,1.6820731,skin_-_melanocytes_2,1,3832,skin_-_melanocytes_2_5000(4)
1.6036475,1.65416,skin_-_melanocytes_2,1,3391,skin_-_melanocytes_2_5000(4)
1.5322917,1.6008487,skin_-_melanocytes_2,1,291,skin_-_melanocytes_2_5000(4)
