epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
20,1087.74928,1027.5840524999999,60.1652242,3784.8143299999997,3754.4006050000003,30.4137339,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
21,1045.9817695,986.4708635000001,59.510918700000005,3777.999815,3747.71971,30.280103200000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
22,1009.5433059999999,950.6716055,58.871717950000004,3772.025455,3741.90323,30.12224845,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
23,978.8350839999999,920.4036229999999,58.4314616,3768.296335,3738.235565,30.060762599999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
24,952.515179,894.8794795,57.635695350000006,3764.7249300000003,3734.801945,29.922970149999998,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
25,925.0802125,867.9845644999999,57.09564485,3759.9189899999997,3730.149895,29.7690836,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
26,900.044103,843.5877640000001,56.45632725,3757.965705,3728.2188450000003,29.74684905,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
27,877.7865335,821.9626215000001,55.82392155,3753.18654,3723.6383049999995,29.5482579,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
28,855.0347525,799.7278715,55.30687885,3749.979705,3720.4287400000003,29.5509956,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
29,833.4695615,778.711947,54.757618349999994,3745.942695,3716.563145,29.3795636,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
30,814.3178065,760.0552845,54.26251585,3742.9024149999996,3713.5669900000003,29.33543545,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
31,798.067929,744.284919,53.783016350000004,3740.91167,3711.6443950000003,29.267233249999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
0,4378.484167500001,4312.398569999999,66.085577,4219.568745,4189.01728,30.55147495,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
1,4011.6949274999997,3988.5970875,23.09786145,4157.413115,4118.43986,38.9732567,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
2,3846.84873,3823.782805,23.065930975,3984.5119775,3963.7789199999997,20.733068574999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/1,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/1/losses.csv,1
