epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
20,272.80675421319796,242.44945634517768,30.357297893401014,0.0,1292.3619091370558,1269.601942639594,22.75996140101523,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
21,261.2083739086294,231.28904274111676,29.919330583756345,0.0,1292.4003700507615,1269.912854822335,22.48750936040609,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
22,249.25114588832488,219.74745111675128,29.503694746192892,0.0,1292.344549746193,1270.1000756345177,22.244475441624367,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
23,239.53982761421318,210.415594822335,29.12423252284264,0.0,1292.0030939086294,1269.9769269035532,22.026170878172586,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
24,240.22735873096445,211.364068071066,28.86329097461929,0.0,1298.0401365482235,1276.1073771573604,21.932757659898478,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
25,226.5768540609137,198.06354512690353,28.513310294416243,0.0,1294.5524365482233,1272.8400035532993,21.712431197969543,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
26,215.57622817258883,187.46715081218272,28.109077451776653,0.0,1292.3609700507616,1270.8818060913707,21.47916507614213,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
27,216.16465771573604,188.304509035533,27.860148675126904,0.0,1296.5332959390862,1275.1613604060913,21.371942015228424,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
28,207.1520359390863,179.55118177664974,27.60085326395939,0.0,1294.4972862944162,1273.2729218274112,21.22436252791878,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
29,204.91197203045687,177.56484507614212,27.34712717258883,0.0,1296.4318862944162,1275.3231304568528,21.108757487309646,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
30,195.80869456852793,168.72283786802032,27.08585683248731,0.0,1294.7047304568528,1273.7323467005076,20.972385355329948,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
31,195.02761700507614,168.1606035532995,26.8670137106599,0.0,1297.3416050761423,1276.4738776649745,20.8677201928934,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
