epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
20,231.0997355414013,199.75965597452227,31.340079754140127,0.0,1268.29580955414,1243.1930420382166,25.10276945987261,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
21,217.38309401273887,186.20271415286624,31.180379868789807,0.0,1260.6328025477708,1235.6121727388534,25.02062893121019,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
22,214.01907870063695,182.967322,31.051756765605095,0.0,1259.543516178344,1234.575976178344,24.96754254522293,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
23,211.53646352866244,180.3906927898089,31.14577058598726,0.0,1262.0706824203821,1237.0105686624204,25.060113642038218,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
24,205.56573299363058,174.52700304458597,31.038730121019107,0.0,1256.458449936306,1231.3977332484076,25.06071989044586,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
25,202.2452731464968,171.22957193630575,31.015701715923566,0.0,1255.4079557961784,1230.3699607643312,25.037993848407645,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
26,196.72500826751593,165.74263988535031,30.98236840764331,0.0,1253.7960886624205,1228.7520029299362,25.04408674522293,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
27,193.73945877707007,162.7215108535032,31.017947805095545,0.0,1253.228968789809,1228.154992101911,25.073979587261146,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
28,198.14239649681528,167.04741515923564,31.094980924840762,0.0,1256.387943566879,1231.2488991082803,25.13904124458599,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
29,188.10938577070064,156.75215836942675,31.357227782165605,0.0,1252.5322535031848,1227.2259659872611,25.306288912101913,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
