label,kmeans_cluster
cerebral cortex - glial cells,4
cerebral cortex - glial cells,11
cerebral cortex - glial cells,19
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,11
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebral cortex - glial cells,4
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,0
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,25
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,17
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,7
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,8
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
cerebellum - Purkinje cells,16
